time,CONSENSUSCREATETOPIC,CONSENSUSDELETETOPIC,CONSENSUSSUBMITMESSAGE,CONSENSUSUPDATETOPIC,CONTRACTCALL,CONTRACTCREATEINSTANCE,CONTRACTUPDATEINSTANCE,CRYPTOCREATEACCOUNT,CRYPTODELETE,CRYPTOTRANSFER,CRYPTOUPDATEACCOUNT,FILEAPPEND,FILECREATE,FILEUPDATE,FREEZE
2019-12-31 18:00:00,0,0,0,0,0,0,0,0,0,11677,0,0,0,1,0
2019-12-31 19:00:00,0,0,0,0,0,0,0,1,0,8864,0,0,0,1,0
2019-12-31 20:00:00,0,0,0,0,0,0,0,0,0,5417,1,0,0,1,0
2019-12-31 21:00:00,0,0,0,0,0,0,0,1,0,3339,0,0,0,1,0
2019-12-31 22:00:00,0,0,0,0,0,0,0,0,0,2810,0,0,0,1,0
2019-12-31 23:00:00,0,0,0,0,0,0,0,1,0,3095,0,0,0,1,0
2020-01-01 00:00:00,0,0,0,0,0,0,0,1,0,4960,0,0,0,1,0
2020-01-01 01:00:00,0,0,0,0,0,0,0,0,0,9105,0,0,0,1,0
2020-01-01 02:00:00,0,0,0,0,0,0,0,0,0,12670,0,0,0,1,0
2020-01-01 03:00:00,0,0,0,0,0,0,0,0,0,14003,0,0,0,1,0
2020-01-01 04:00:00,0,0,0,0,0,0,0,2,0,12913,0,0,0,1,0
2020-01-01 05:00:00,0,0,0,0,0,0,0,0,0,13567,0,0,0,1,0
2020-01-01 06:00:00,0,0,0,0,0,0,0,1,0,13018,0,0,0,1,0
2020-01-01 07:00:00,0,0,0,0,0,0,0,0,0,13186,0,0,0,1,0
2020-01-01 08:00:00,0,0,0,0,1,0,0,0,0,14832,0,0,0,1,0
2020-01-01 09:00:00,0,0,0,0,0,0,0,1,0,15486,0,0,0,1,0
2020-01-01 10:00:00,0,0,0,0,2,0,0,1,0,14871,0,0,0,1,0
2020-01-01 11:00:00,0,0,0,0,0,0,0,0,0,17943,0,0,0,1,0
2020-01-01 12:00:00,0,0,0,0,0,0,0,1,0,17845,0,0,0,1,0
2020-01-01 13:00:00,0,0,0,0,0,0,0,3,0,18278,0,0,0,1,0
2020-01-01 14:00:00,0,0,0,0,2,0,0,2,0,20503,1,0,0,1,0
2020-01-01 15:00:00,0,0,0,0,0,0,0,0,0,20388,0,0,0,1,0
2020-01-01 16:00:00,0,0,0,0,0,0,0,3,0,19451,0,0,0,1,0
2020-01-01 17:00:00,0,0,0,0,0,0,0,0,0,17301,3,0,0,1,0
2020-01-01 18:00:00,0,0,0,0,2,0,0,0,0,12557,0,0,0,1,0
2020-01-01 19:00:00,0,0,0,0,0,0,0,0,0,7187,0,0,0,1,0
2020-01-01 20:00:00,0,0,0,0,0,0,0,0,0,3795,0,0,0,1,0
2020-01-01 21:00:00,0,0,0,0,0,0,0,1,0,2767,0,0,0,1,0
2020-01-01 22:00:00,0,0,0,0,0,0,0,0,0,2660,0,0,0,1,0
2020-01-01 23:00:00,0,0,0,0,0,0,0,0,0,3508,0,0,0,1,0
2020-01-02 00:00:00,0,0,0,0,2,0,0,2,0,6612,0,0,0,1,0
2020-01-02 01:00:00,0,0,0,0,0,0,0,0,0,12793,1,0,0,1,0
2020-01-02 02:00:00,0,0,0,0,0,0,0,0,0,18534,0,0,0,1,0
2020-01-02 03:00:00,0,0,0,0,0,0,0,2,0,20789,0,0,0,1,0
2020-01-02 04:00:00,0,0,0,0,0,0,0,1,0,19409,0,0,0,1,0
2020-01-02 05:00:00,0,0,0,0,0,0,0,1,0,17827,0,0,0,1,0
2020-01-02 06:00:00,0,0,0,0,0,0,0,2,0,17183,0,0,0,1,0
2020-01-02 07:00:00,0,0,0,0,0,0,0,1,0,16696,0,0,0,1,0
2020-01-02 08:00:00,0,0,0,0,0,0,0,0,0,18215,0,0,0,1,0
2020-01-02 09:00:00,0,0,0,0,0,0,0,0,0,18810,0,0,0,1,0
2020-01-02 10:00:00,0,0,0,0,0,0,0,1,0,18508,0,0,0,1,0
2020-01-02 11:00:00,0,0,0,0,0,0,0,0,0,16741,1,0,0,1,0
2020-01-02 12:00:00,0,0,0,0,0,0,0,0,0,16452,0,0,0,1,0
2020-01-02 13:00:00,0,0,0,0,0,0,0,2,0,17144,1,0,0,1,0
2020-01-02 14:00:00,0,0,0,0,0,0,0,0,0,20694,0,0,0,1,0
2020-01-02 15:00:00,0,0,0,0,0,0,0,0,0,19183,0,0,0,1,0
