Date,Balance
2023-07-01,9844374932533
2023-07-02,9847976043598
2023-07-03,9851336951161
2023-07-04,9856048568554
2023-07-05,9859578887369
2023-07-06,9860812763921
2023-07-07,9869203087028
2023-07-08,9874009258934
2023-07-09,9878990649169
2023-07-10,9881280968350
2023-07-11,9883455114942
2023-07-12,9885980194472
2023-07-13,9888165028865
2023-07-14,9890416549049
2023-07-15,9892406912253
2023-07-16,9895400739134
2023-07-17,9898170727998
2023-07-18,9900179897834
2023-07-19,9902701027056
2023-07-20,9905377113240
2023-07-21,9908763816806
2023-07-22,9911905510527
2023-07-23,9914568205938
2023-07-24,9916567254222
2023-07-25,9919069934627
2023-07-26,9921964215617
2023-07-27,9923676196992
2023-07-28,9926648824321
2023-07-29,9931016758191
2023-07-30,9932496891215
2023-07-31,9934151894436
2023-08-01,9937832646021
2023-08-02,9940392869984
2023-08-03,9941988779599
2023-08-04,9943800317000
2023-08-05,9945715679128
2023-08-06,9947322862783
2023-08-07,9949180603723
2023-08-08,9951456047070
2023-08-09,9954130944352
2023-08-10,9956150181677
2023-08-11,9957959764685
2023-08-12,9960130904573
2023-08-13,9961733108586
2023-08-14,9963680856883
2023-08-15,9965536534172
2023-08-16,9967618676677
2023-08-17,9969565424337
2023-08-18,9971928325189
2023-08-19,9974085918706
2023-08-20,9976088899921
2023-08-21,9978174793664
2023-08-22,9980020302977
2023-08-23,9982116291521
2023-08-24,9983976658047
2023-08-25,9984337683041
2023-08-26,9984337683041
2023-08-27,9985022608708
2023-08-28,9985959942472
2023-08-29,9987771838419
2023-08-30,9988826052549
2023-08-31,9989393927965
2023-09-01,9993539277102
2023-09-02,9994615279956
2023-09-03,9995787216553
2023-09-04,9996574947346
2023-09-05,9999021658318
2023-09-06,10000716981346
2023-09-07,10004356122928
2023-09-08,10007588856247
2023-09-09,10019191946280
2023-09-10,10021197758901
2023-09-11,10023025219171
2023-09-12,10025767306376
2023-09-13,10032225662491
2023-09-14,10046386607753
2023-09-15,10052147725449
2023-09-16,10053016737576
2023-09-17,10053735584750
2023-09-18,10059999987419
2023-09-19,10064163348227
2023-09-20,10074128962673
2023-09-21,10077430997321
2023-09-22,10077967828644
2023-09-23,10078599040671
2023-09-24,10079214546470
2023-09-25,10080615855506
2023-09-26,10082412191719
2023-09-27,10085465706694
2023-09-28,10085557988038
2023-09-29,10085557988038
2023-09-30,10085557988038
2023-10-01,10085557988038
2023-10-02,10085557988038
2023-10-03,10085575836093
2023-10-04,10086294281703
2023-10-05,10087441365627
2023-10-06,10088271666417
2023-10-07,10088941611513
2023-10-08,10089465895380
2023-10-09,10090123918637
2023-10-10,10090747203316
2023-10-11,10091357469484
2023-10-12,10093937174345
2023-10-13,10099095946357
2023-10-14,10100704068231
2023-10-15,10101189699082
2023-10-16,10101785603499
2023-10-17,10111674709568
2023-10-18,10165546771396
2023-10-19,10219387154486
2023-10-20,10272171282618
2023-10-21,10332943197049
2023-10-22,10393468189554
2023-10-23,10452967855699
2023-10-24,10510700360155
2023-10-25,10562849013729
2023-10-26,10617966646233

