Category,Transaction type,Count,Percentage
Transfers,CRYPTOTRANSFER,8185711,51.808
Tokens,TOKENMINT,692,0.004
Tokens,TOKENDISSOCIATE,14,0.0
Tokens,TOKENFREEZE,74,0.0
Tokens,TOKENASSOCIATE,286,0.002
Tokens,TOKENBURN,318,0.002
Tokens,UTILPRNG,20,0.0
Tokens,TOKENCREATION,4,0.0
Tokens,TOKENGRANTKYC,4,0.0
Smart Contracts,CONTRACTCREATEINSTANCE,15,0.0
Smart Contracts,SCHEDULECREATE,62,0.0
Smart Contracts,CONTRACTCALL,6696,0.042
Smart Contracts,SCHEDULESIGN,51,0.0
File Service,FILEUPDATE,2108,0.013
File Service,FILECREATE,38,0.0
File Service,FILEAPPEND,33,0.0
Consensus,CONSENSUSDELETETOPIC,5,0.0
Consensus,CONSENSUSUPDATETOPIC,5,0.0
Consensus,CONSENSUSCREATETOPIC,52,0.0
Consensus,CONSENSUSSUBMITMESSAGE,7596535,48.079
Account Actions,CRYPTODELETEALLOWANCE,66,0.0
Account Actions,CRYPTOAPPROVEALLOWANCE,207,0.001
Account Actions,CRYPTOUPDATEACCOUNT,1731,0.011
Account Actions,CRYPTOCREATEACCOUNT,5268,0.033
Account Actions,CRYPTODELETE,3,0.0
Account Actions,FREEZE,2,0.0
Total,,15800000,100.0
