Transaction type,Count,Percentage
CRYPTOTRANSFER,3309675,73.54833333333333
CONSENSUSSUBMITMESSAGE,1174163,26.09251111111111
CONTRACTCALL,6500,0.14444444444444443
CRYPTOCREATEACCOUNT,4249,0.09442222222222223
FILEUPDATE,1804,0.04008888888888889
CRYPTOUPDATEACCOUNT,1715,0.03811111111111111
TOKENMINT,692,0.015377777777777777
TOKENBURN,318,0.007066666666666667
TOKENASSOCIATE,286,0.006355555555555555
CRYPTOAPPROVEALLOWANCE,207,0.0046
TOKENFREEZE,74,0.0016444444444444445
CRYPTODELETEALLOWANCE,66,0.0014666666666666667
SCHEDULECREATE,62,0.0013777777777777777
SCHEDULESIGN,51,0.0011333333333333334
FILECREATE,38,0.0008444444444444444
FILEAPPEND,33,0.0007333333333333333
UTILPRNG,20,0.0004444444444444444
CONTRACTCREATEINSTANCE,15,0.0003333333333333333
TOKENDISSOCIATE,14,0.0003111111111111111
CONSENSUSCREATETOPIC,5,0.0001111111111111111
TOKENCREATION,4,8.888888888888889e-05
TOKENGRANTKYC,4,8.888888888888889e-05
CRYPTODELETE,3,6.666666666666667e-05
FREEZE,2,4.4444444444444447e-05
