Category,Transaction type,Count,Percentage
Transfers,CRYPTOTRANSFER,3309675,73.54833333333333
Tokens,TOKENASSOCIATE,286,0.0063555555555555
Tokens,TOKENGRANTKYC,4,8.888888888888889e-05
Tokens,TOKENCREATION,4,8.888888888888889e-05
Tokens,TOKENDISSOCIATE,14,0.0003111111111111
Tokens,UTILPRNG,20,0.0004444444444444
Tokens,TOKENFREEZE,74,0.0016444444444444
Tokens,FREEZE,2,4.4444444444444447e-05
Tokens,TOKENBURN,318,0.0070666666666666
Tokens,TOKENMINT,692,0.0153777777777777
Smart Contracts,SCHEDULESIGN,51,0.0011333333333333
Smart Contracts,CONTRACTCREATEINSTANCE,15,0.0003333333333333
Smart Contracts,CONTRACTCALL,6500,0.1444444444444444
Smart Contracts,SCHEDULECREATE,62,0.0013777777777777
File Service,FILECREATE,38,0.0008444444444444
File Service,FILEAPPEND,33,0.0007333333333333
File Service,FILEUPDATE,1804,0.0400888888888888
Consensus,CONSENSUSSUBMITMESSAGE,1174163,26.09251111111111
Consensus,CONSENSUSCREATETOPIC,5,0.0001111111111111
Accounts Actions,CRYPTOAPPROVEALLOWANCE,207,0.0046
Accounts Actions,CRYPTODELETEALLOWANCE,66,0.0014666666666666
Accounts Actions,CRYPTOUPDATEACCOUNT,1715,0.0381111111111111
Accounts Actions,CRYPTOCREATEACCOUNT,4249,0.0944222222222222
Accounts Actions,CRYPTODELETE,3,6.666666666666667e-05
